#NAME	002VWWX	004AWZY	004VWZY	006VHQK	027VYMX	031VPYH	036AXHM	036VXHM	040VYDY	047VLRL	083AYGC	083VYGC	086VHMX	110VZSZ	149VYYD	153VWG	155VCHJ	173VHJW	174ALBQ	180VHMQ	189VXZJ	195VXXY	199VOZQ	206AZFD	215ATKH	215VTKH	220VDXP	227AZMH	227VZMH	230VLSH	235VDBJ	243AHZH	243VHZH	287ADJQ	309VHJD	322VCHL	325ALRY	325VLRY	331ALDY	331VLDY	342VCSL	347APZL	347VPZL	348VYQM	350VLYY	351AZDY	351VZDY	353VGSZ	354VPYM	357VLTS	358AWXC	358VWXC	359VYSH	361ATLX	361VTLX	362VLBJ	363VLH	364VCZ	366VZMY	367VWSY	370VLZW	371VTYJ	372VJHK	373VHXR	376VYKZ	377VHWH	379ALJJ	379VLJJ	384VCZL	388ADHL	388VDHL	390VNFD	392VWLL	393VZLH	395VGSQ	C001CJB	C002HHP	C003XYQ	C006LYH	C007XXZ	C008QLX	C009HHR	C010WL	C013MJH	C014LWG	C017YYM	C018LJP	C020LBJ	C022SMR	C024XHR	C025PCY	C026CBR	C031CQS	C034LJ	319VLY	178VYDM	188VZJH	190VFYK	206VZFD	254VLXR	214VGWJ	021VLSF	287VDJQ	136VZXQ	250VSJJ	317VYL	338VHJY	139VLTW	038VLWS	063VWZB	211VLT	316VYJH	349VZNL	193VZXL	174VLBQ	314VLLY	253VXXJ	275VLSX
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter;s__Ilumatobacter_coccineus	0	0	0	0	0	0	6.90791E-05	0	2.39012E-05	0	0	0	0	0	8.18768E-07	2.16291E-05	0	3.79135E-06	1.0473E-05	5.25373E-06	0	0	0	1.66414E-05	0	0	0	3.91757E-06	0	0	0	0	0	0	5.96486E-05	0	0	0	0	0	2.39558E-06	4.07854E-06	0	0	0	5.54178E-07	0	0	5.77496E-06	0	0	0	0	0	0	4.28309E-06	0	7.58057E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03341E-05	3.71811E-05	7.03461E-05	6.94952E-06	4.48857E-06	6.8992E-07	1.14919E-06	1.70578E-06	1.63853E-06	4.96786E-06	8.62007E-06	0	1.01151E-06	1.3039E-06	3.10078E-06	1.17001E-06	8.17783E-06	7.75439E-07	1.53271E-06	1.11924E-06	0	6.34513E-07	7.5276E-07	0	0	0	0	0	0	0	0	5.92867E-05	3.87223E-05	0.00012188	1.13935E-06	6.91857E-05	3.88377E-05	2.56682E-05	4.40312E-05	0	3.33049E-05	0	5.88406E-07	0	0	6.60243E-05	7.69129E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Acidothermales;f__Acidothermaceae;g__Acidothermus;s__Acidothermus_cellulolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00802E-06	0	6.28163E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.56242E-06	0	0	0	0	0	0	0	0	2.2164E-06	0	0	2.12083E-05	0	0	0	0	0	0	0	9.55016E-07	2.88072E-06	0	0	1.06753E-06	2.27907E-06	2.13385E-06	0	2.62993E-06	1.18592E-05	0	3.98866E-06	2.2171E-06	2.55249E-06	6.05016E-07	2.99516E-07	0	8.46017E-07	8.28036E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17681E-06	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum_sp._313	0	0	0	0	0	7.42723E-06	0	0	0	0	0	0	0	0	0	0	0	6.2667E-07	1.42226E-06	0	0	0	0	0	0	0	0	1.2158E-06	0	0	0	0	0	0	0	0	0	0	0	0	1.55713E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91003E-06	1.97293E-06	1.45161E-06	1.61102E-06	5.83417E-07	1.17795E-06	5.58865E-07	0	1.68585E-06	1.29148E-05	1.79846E-05	4.7864E-07	1.76278E-06	2.81097E-06	5.1628E-06	9.77369E-07	1.42319E-06	2.21022E-05	2.11714E-06	0	0	0	0	0	0	0	0	0	0	0	1.29127E-06	0	0	0	0	0	0	0	1.68676E-06	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_gaoshouyii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.77338E-07	1.55155E-06	5.71057E-07	0	0	0	0	0	0	0	3.98511E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.09596E-07	0	0	0	0	0	0	0	3.14613E-06	1.55083E-05	0	0	0	0	0	0	0	0	1.15677E-05	2.69134E-06	0	0	0	0	0	0	0	0	2.55804E-05	0	7.97438E-06	8.53322E-06	1.69354E-06	4.31184E-06	7.82027E-07	3.71309E-07	2.81126E-06	0	4.45065E-06	1.01207E-05	8.37212E-06	3.93548E-06	5.63362E-07	4.84649E-07	4.15444E-06	1.67098E-06	9.05668E-07	5.28761E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.31644E-06	0	1.4514E-06	0	6.28827E-07	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_hongkongensis	0	0	0	0	7.90825E-06	0	0	0	0	0	0	2.21992E-05	0	0	0	0	0	5.95337E-07	5.43043E-06	0	1.28532E-06	4.59096E-05	0	0	0	0	0	3.10704E-06	0	0.000208361	0	0	0	0	0	0	0	0	1.58879E-06	0	1.19779E-06	0	0	0	0	0	0	0	8.3585E-07	3.33914E-06	0	2.52307E-05	7.69151E-05	0	0	0	0	0	0	0	0	0	0	7.48498E-06	0	8.55879E-06	0	0	0	1.10338E-05	0	0	0	0	0	3.41418E-05	8.71478E-07	2.78225E-06	1.28881E-05	9.5581E-07	1.80533E-06	4.47092E-06	0	2.69736E-05	3.40255E-05	4.06203E-05	3.98866E-06	3.96171E-06	3.78026E-06	2.77501E-05	7.1411E-06	0	1.16327E-06	1.92895E-06	0	5.17527E-06	0	1.96519E-05	0	0	0	0	0	0	0	3.94976E-06	0	0	2.52733E-05	2.23888E-05	1.0178E-05	2.35431E-05	0	2.12218E-05	0	3.68623E-06	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_howellii	0	0	0	0	0	0	0	0	0	0	0	8.50183E-06	0	0	0	0	0	4.70003E-07	4.39606E-06	0	0	0	0	0	0	0	0	1.8237E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.72667E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24723E-05	0	0	0	0	4.15432E-06	1.28301E-06	2.6008E-06	4.64352E-06	3.59981E-07	1.92057E-07	5.08059E-07	0	4.11348E-06	1.38461E-05	1.08527E-05	2.60593E-06	6.17881E-07	1.55088E-06	1.23423E-05	1.21383E-06	8.40977E-07	9.51769E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.26414E-06	0	0	5.98708E-06	7.46488E-06	0	2.47131E-06	0	0	0	1.42431E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_israelii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.40005E-07	0	9.59376E-06	0	0	0	0	0	0	0	2.36405E-06	1.12047E-05	0	0	0	0	0	0	0	0	0	0	0	1.55713E-06	0	0	0	4.91142E-06	0	0	0	0	1.53044E-06	0	0	0	0	0	0	0	0	0	0	1.55659E-06	0	0	0	6.6492E-06	7.3361E-06	0	0	0	0	0	0	0	0	0	5.06158E-06	1.23459E-06	2.54032E-06	3.55371E-06	7.9444E-07	1.0243E-06	2.91287E-06	0	1.55098E-05	2.80027E-05	5.1473E-05	1.49442E-05	4.47055E-06	6.42968E-06	3.08155E-05	4.61885E-06	7.76287E-07	3.17256E-06	1.08209E-06	0	0	0	0	0	0	0	0	0	0	0	2.20275E-06	0	0	0	0	0	7.46488E-06	0	2.78512E-06	0	5.63776E-07	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_naeslundii	0	0	0	0	1.24555E-05	6.15399E-06	0	0	0	0	0	0.000137919	0	0	2.70194E-06	0	0	1.09667E-06	3.74958E-06	4.85399E-06	0	0	3.81456E-05	0	1.19709E-06	0	0	2.83686E-05	3.25469E-05	0.001022863	0	0	0	0	0	0	0	0	1.7576E-05	0	0	0	0	2.18035E-05	4.53362E-06	0	1.6592E-05	0	2.96347E-06	2.92174E-06	4.2388E-05	2.95559E-05	0.0001036	1.32935E-06	0	2.6071E-06	6.69488E-07	8.33862E-07	0	0	0	0	0	1.42895E-05	2.37471E-06	3.63749E-05	6.42477E-06	4.24166E-05	0	0	0	0	0	0	4.21935E-06	0.000162496	4.49053E-06	8.81853E-05	0.000275436	8.82573E-06	4.53253E-06	2.48949E-06	0.000137764	2.94687E-05	0.00026674	7.62793E-05	6.51482E-06	7.10563E-06	8.20673E-06	5.19104E-05	1.7766E-05	0	4.81172E-06	3.48152E-06	0	0	0	1.00779E-05	1.44007E-05	0	2.36368E-05	0	5.92867E-05	0	0	6.22847E-06	0	2.12981E-05	1.46111E-05	0	0.000108965	2.69884E-05	1.19904E-06	3.41276E-05	2.0253E-06	1.36607E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_oris	1.20846E-05	0	0	2.63597E-05	1.06761E-05	7.63944E-06	9.5648E-05	2.8325E-05	0	3.11E-05	7.39703E-06	0.000252693	5.88335E-05	0	2.78381E-06	4.83473E-05	0	1.39434E-05	1.66792E-05	4.43712E-05	0	0	6.05842E-05	4.04148E-05	2.85972E-06	3.1551E-05	0	4.43766E-05	5.33555E-05	0.001401701	2.95864E-05	2.90338E-06	0	0	0	0	0	0	1.83704E-05	1.28428E-05	5.92907E-06	3.75866E-06	0	1.95084E-05	1.96457E-05	3.32507E-06	2.44E-05	0	3.72333E-06	3.6174E-06	0	2.73933E-05	7.06363E-05	1.32935E-06	0	5.40041E-06	7.65129E-07	3.63867E-06	2.0456E-05	2.15966E-05	5.75939E-06	0	7.31598E-06	4.55903E-05	0.000140108	7.51951E-05	4.70385E-06	0.000112404	2.71589E-05	7.6757E-06	0	0	2.18712E-05	0	9.67968E-06	0.00021039	5.47094E-06	0.000102157	0.00027302	1.38779E-05	6.13301E-06	5.32954E-05	9.43382E-05	3.65493E-05	0.000264256	0.000146047	8.89738E-05	1.44839E-05	1.81582E-05	6.5382E-05	2.99674E-05	1.35203E-05	5.76349E-06	7.33941E-06	0	0	0	1.81402E-05	1.12006E-05	0	1.90619E-05	0	4.34769E-05	0	0	1.04061E-05	0	3.82113E-05	1.30315E-05	0	0.000132913	3.78986E-05	2.25702E-06	4.13061E-05	0	1.55472E-05	0	5.98211E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_pacaensis	1.24744E-05	0	0	0	8.73861E-05	4.03193E-06	3.98533E-05	0.000239475	0	0	0	1.13358E-05	0.000200034	0	0.000117493	6.10703E-05	0	3.44669E-06	6.07691E-06	8.05191E-06	9.37524E-06	0	0	1.18867E-05	1.92865E-06	2.22713E-05	0	6.68688E-06	3.04127E-05	0.000416722	0	0	3.50209E-05	2.1725E-06	6.66661E-05	0.000145998	0	0	4.07127E-06	4.31985E-05	6.52797E-06	0	7.49466E-05	2.63937E-05	8.31164E-06	1.59603E-05	1.1712E-05	0	1.21578E-06	1.39131E-06	0	0.000350346	2.66848E-05	8.3749E-06	4.88057E-05	4.56242E-06	0	1.2887E-06	0	0	4.51411E-06	8.69758E-06	0	4.21881E-05	9.9738E-06	0.000105762	1.49146E-05	9.96791E-05	0	0	0	0	0.000412273	4.9562E-05	8.4387E-06	1.3991E-05	2.1908E-06	8.21369E-05	8.95535E-06	1.4933E-05	2.94487E-06	2.97553E-05	8.83485E-05	3.49309E-05	0.00015417	0.000128683	1.27637E-05	2.24618E-05	2.1583E-05	0.000162911	1.27846E-05	9.44482E-06	2.53805E-06	1.25146E-05	0	0	0	5.54285E-06	0	0	0	4.20135E-05	0	0	0	6.0006E-06	0	0	6.71321E-06	1.64184E-05	4.78966E-05	3.21564E-05	1.7633E-06	2.88319E-05	0	2.0361E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_qiguomingii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56668E-06	6.93622E-06	0	0	0	0	0	0	0	0	0	0	0	9.58233E-07	0	0	0	0	0	0	0	0	0	0	7.20876E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28927E-06	5.56777E-07	7.86289E-07	1.99008E-06	1.10477E-06	6.786E-07	5.4193E-07	0	5.9342E-06	6.08485E-06	1.45737E-05	3.43025E-06	1.0722E-06	7.10819E-07	3.63009E-06	9.77369E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36723E-06	0	0	0	0	8.38191E-06	0	0	1.84367E-06	0	6.72195E-07	0	0
